Address,TokenCount,Tokens,Category,RewardType
0xf614f963b3d0AeC9420ec5E2145c50F2913fe66e,3,1644;1645;1646,Bunnie Holder,Tier Winner
0xe03Fb71941Da574561d2C35C7FA79E2F9706F70A,1,1927,Bunnie Holder,Tier Winner
0xc6F38CA3B9F12a7C9B17c6d8E832779adC4F548D,1,172,Bunnie Holder,Tier Winner
0x4ECAE9df63b59c2068918a270dAB59e122d426B2,6,111;366;472;1184;1632;1730,Bunnie Believer,Tier Winner
0xB670686ef62730ef8124455E45F4F9099Ce76a03,5,134;455;1476;1789;1860,Bunnie Believer,Tier Winner
0xa4FED82F8153f378B2A317eF0181AFd8Df5Cc673,7,199;205;285;1233;1382;2011;2160,Bunnie Believer,Tier Winner
0x1Ce22eD6b24DB82e5FA17C2288FeD3b3d9E93680,5,876;1136;1552;1781;1958,Bunnie Believer,Tier Winner
0xa33A46408c871c0C4D172E8036DfCDCB19e6f226,5,287;803;847;872;884,Bunnie Believer,Tier Winner
0x49C4a00d054D421F6Deb02aF357275Afec2555C8,5,1157;1457;1936;1997;2137,Bunnie Believer,Tier Winner
0x0C94a3B824Be5C6f9314f762117ebdaC18933CdD,10,516;790;1083;1761;1855;1859;2031;2042;2052;2168,Big Bunnie,Tier Winner
0x3aafE8Ce657D334fA7Aa81A895D4504a5e35fF52,18,233;242;778;1014;1081;1117;1138;1608;1718;1819;1820;1842;1845;2038;2067;2127;2139;2208,Whale Bunnie,Guaranteed Reward
0x2938AFd9B656D26CCA344F10367Fe43844A3cD55,18,255;464;573;1715;1757;1758;1773;1813;2009;2104;2105;2106;2146;2147;2148;2164;2166;2173,Whale Bunnie,Guaranteed Reward
0xDB94499A6fF41E4ed7850C13b4CA2dCAb3D40075,15,112;300;470;498;543;666;1086;1132;1609;1625;1671;1782;1810;1925;2028,Whale Bunnie,Guaranteed Reward
0x4166687A150DbA40f5b3E489D3728e16A111b7E0,15,114;122;168;436;438;504;691;870;890;1868;1916;2002;2128;2197;2205,Whale Bunnie,Guaranteed Reward
0x90361d5443Ae9b8162f58cd55483fAB13F6ADEa3,15,244;316;529;539;687;983;1700;1701;1709;1710;1721;1723;1822;1835;1980,Whale Bunnie,Guaranteed Reward
0x7aa9E9b3DD99F2759941fab699F3372134cfecFA,15,869;880;893;894;903;920;924;928;945;949;953;1012;1017;1021;1548,Whale Bunnie,Guaranteed Reward
0x868516C4ebaF643Cb56f85289ceaC12F406A9E78,3,1850;1851;1852,Exclusive,1/1 Exclusive NFT